rating,place,aircraft ,aircraft 1,traveller_type ,traveller_type  1,seat_type,route ,route 1,date_flown,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment
2,United Kingdom,A321,A321,Couple Leisure,Couple Leisure,Economy Class,London Heathrow to Istanbul,London Heathrow to Istanbul,01-08-2017,2,1,1,2,1,-1
7,Canada,Boeing 777-200 / 787-9 / A319/ 320,Boeing 777-200 / 787-9 / A319/ 320,Business,Business,Premium Economy,Toronto to Oslo via London,Toronto to Oslo via London,01-09-2017,1,3,1,4,4,3
6,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Gatwick to Malaga,Gatwick to Malaga,01-09-2017,3,4,2,4,3,-1
4,Greece,Unknown,,Business,Business,Economy Class,Athens to London,Athens to London,01-09-2017,3,-1,-1,1,3,-1
6,United Kingdom,A321,A321,Solo Leisure,Solo Leisure,Economy Class,London to Sofia,London to Sofia,01-09-2017,3,5,2,3,3,-1
1,United Kingdom,Unknown,,Business,Business,Business Class,Geneva to London,Geneva to London,01-09-2017,1,1,1,1,1,1
3,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Business Class,Barcelona to London,Barcelona to London,01-09-2017,2,3,1,4,2,-1
3,United Kingdom,Unknown,,Business,Business,Business Class,London to New York JFK,London to New York JFK,01-09-2017,2,3,1,1,2,1
9,Romania,Boeing 777,Boeing 777,Business,Business,Economy Class,Port of Spain to Gatwick via St. Lucia,Port of Spain to Gatwick via St. Lucia,01-09-2017,5,5,5,4,4,5
1,United Kingdom,Boeing 747-400,Boeing 747-400,Business,Business,First Class,London Heathrow to Chicago ,London Heathrow to Chicago ,01-08-2017,1,1,1,1,1,1
7,United Kingdom,A319,A319,Couple Leisure,Couple Leisure,Economy Class,Jersey to Gatwick,Jersey to Gatwick,01-09-2017,3,4,1,4,4,-1
7,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Economy Class,Gatwick to Tirana,Gatwick to Tirana,01-09-2017,3,3,-1,4,3,-1
4,Australia,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Reykjavik to London Heathrow,Reykjavik to London Heathrow,01-09-2017,3,5,-1,1,1,-1
